Client ID,FL Round,Training Time,Communication Time,Total Client Time,CPU Usage (%),Task,Train Loss,Train Accuracy,Train F1,Val Loss,Val Accuracy,Val F1,Total Time of Training Round,Total Time of FL Round
Client 1 - A,1,156,101.12,257.12,35,taskA,,,,,,,,262.0
Client 2 - A,1,159,98.69,257.69,35,taskA,,,,,,,,262.0
Client 3 - A,1,147,110.48,257.48,35,taskA,,,,,,,,262.0
Client 4 - A,1,159,98.7,257.7,34,taskA,544.0,0.75,0.14,134.0,0.76,0.14,159.0,262.0
Client 1 - A,2,160,111.41,271.40999999999997,25,taskA,,,,,,,,272.0
Client 2 - A,2,162,109.47,271.47,24,taskA,,,,,,,,272.0
Client 3 - A,2,150,122.06,272.06,29,taskA,,,,,,,,272.0
Client 4 - A,2,158,113.38,271.38,23,taskA,407.0,0.79,0.25,101.0,0.79,0.25,162.0,272.0
Client 1 - A,3,165,135.49,300.49,22,taskA,,,,,,,,301.0
Client 2 - A,3,159,141.46,300.46000000000004,23,taskA,,,,,,,,301.0
Client 3 - A,3,164,136.45,300.45,25,taskA,372.0,0.79,0.26,92.0,0.79,0.25,165.0,301.0
Client 4 - A,3,147,153.47,300.47,28,taskA,,,,,,,,301.0
Client 1 - A,4,158,146.17,304.16999999999996,26,taskA,357.0,0.8,0.27,88.0,0.8,0.26,165.0,304.0
Client 2 - A,4,165,139.64,304.64,21,taskA,,,,,,,,304.0
Client 3 - A,4,158,145.73,303.73,22,taskA,,,,,,,,304.0
Client 4 - A,4,155,149.05,304.05,24,taskA,,,,,,,,304.0
Client 1 - A,5,169,96.68,265.68,26,taskA,,,,,,,,265.0
Client 2 - A,5,161,103.95,264.95,26,taskA,,,,,,,,265.0
Client 3 - A,5,169,96.64,265.64,22,taskA,349.0,0.8,0.25,86.0,0.8,0.25,169.0,265.0
Client 4 - A,5,162,102.96,264.96,23,taskA,,,,,,,,265.0
Client 1 - A,6,141,175.86,316.86,23,taskA,,,,,,,,317.0
Client 2 - A,6,162,154.93,316.93,23,taskA,344.0,0.8,0.26,85.0,0.8,0.25,162.0,317.0
Client 3 - A,6,146,171.52,317.52,23,taskA,,,,,,,,317.0
Client 4 - A,6,128,189.43,317.43,24,taskA,,,,,,,,317.0
Client 1 - A,7,221,223.86,444.86,19,taskA,,,,,,,,445.0
Client 2 - A,7,183,262.03,445.03,25,taskA,,,,,,,,445.0
Client 3 - A,7,182,262.22,444.22,22,taskA,,,,,,,,445.0
Client 4 - A,7,168,276.54,444.54,25,taskA,341.0,0.8,0.24,84.0,0.8,0.24,221.0,445.0
Client 1 - A,8,224,325.55,549.55,19,taskA,,,,,,,,549.0
Client 2 - A,8,194,355.42,549.4200000000001,23,taskA,,,,,,,,549.0
Client 3 - A,8,196,352.71,548.71,23,taskA,335.0,0.8,0.25,83.0,0.8,0.25,224.0,549.0
Client 4 - A,8,172,377.04,549.04,24,taskA,,,,,,,,549.0
Client 1 - A,9,180,146.73,326.73,24,taskA,,,,,,,,326.0
Client 2 - A,9,183,143.21,326.21000000000004,22,taskA,,,,,,,,326.0
Client 3 - A,9,140,185.9,325.9,23,taskA,332.0,0.8,0.27,82.0,0.8,0.26,191.0,326.0
Client 4 - A,9,191,135.12,326.12,20,taskA,,,,,,,,326.0
Client 1 - A,10,145,141.05,286.05,23,taskA,,,,,,,,286.0
Client 2 - A,10,163,122.82,285.82,21,taskA,334.0,0.8,0.24,83.0,0.8,0.24,163.0,286.0
Client 3 - A,10,161,124.41,285.40999999999997,26,taskA,,,,,,,,286.0
Client 4 - A,10,152,133.53,285.53,25,taskA,,,,,,,,286.0
