Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE,"AP List (client_selector,client_cluster,message_compressor,model_co-versioning_registry,multi-task_model_trainer,heterogeneous_data_handler)",Agent Time (s)
Client 1,1,48.58,0.0,0.0,13.41,,5,310,17,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 2,1,21.07,0.0,0.0,13.86,,5,196,16,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 3,1,20.71,0.0,0.0,20.97,,5,164,17,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 4,1,21.65,0.0,0.0,35.4,,3,133,16,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 5,1,61.86,0.0,0.0,29.3,101.34,3,253,16,CNN 16k,non-IID,FashionMNIST,0.36,0.8804,0.8037,0.4021,1.79,0.7026,0.6613,0.8528,"{OFF,OFF,OFF,OFF,OFF,OFF}",0.0
Client 1,2,73.98,0.0,0.0,13.56,,5,292,16,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 2,2,40.91,0.0,0.0,18.96,,5,209,16,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 3,2,34.08,0.0,0.0,64.34,,5,121,16,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 4,2,47.79,0.0,0.0,53.44,,3,140,17,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 5,2,84.04,0.0,0.0,29.49,122.55,3,249,18,CNN 16k,non-IID,FashionMNIST,0.14,0.9518,0.86,0.1372,1.35,0.7429,0.7012,0.7421,"{OFF,OFF,ON,OFF,OFF,OFF}",0.0
