Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE,SSIM Overhead (indice),"AP List (client_selector,client_cluster,message_compressor,model_co-versioning_registry,multi-task_model_trainer,heterogeneous_data_handler)",Agent Time (s)
Client 1,1,3.43,0.17,0.0,0.57,,5,251,25,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 2,1,0.93,0.26,0.0,0.74,,5,143,26,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 3,1,0.78,0.22,0.0,50.64,,5,6,22,MLP,IID,AG_NEWS,,,,,,,,,,,0.0
Client 4,1,0.68,0.14,0.0,50.51,,3,5,25,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 5,1,3.25,0.19,0.0,0.62,53.13,3,182,25,MLP,IID,AG_NEWS,0.34,0.8859,0.7309,0.1748,1.26,0.6049,0.5084,0.6923,,"{OFF,OFF,OFF,OFF,OFF,OFF}",0.0
Client 1,2,5.15,0.17,0.0,0.6,,5,208,30,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 2,2,2.33,0.23,0.0,1.53,,5,137,29,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 3,2,2.03,0.22,0.0,51.2,,5,12,29,MLP,IID,AG_NEWS,,,,,,,,,,,0.0
Client 4,2,1.73,0.06,0.0,50.83,,3,9,30,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 5,2,4.88,0.19,0.0,0.6,54.98,3,157,29,MLP,IID,AG_NEWS,0.19,0.9412,0.8768,0.0862,1.05,0.7092,0.6559,0.5477,,"{OFF,OFF,OFF,OFF,OFF,OFF}",0.0
Client 1,3,4.2,0.17,0.0,0.53,,5,219,34,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 2,3,2.53,0.14,0.0,1.01,,5,143,32,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 3,3,1.98,0.18,0.0,51.06,,5,12,33,MLP,IID,AG_NEWS,,,,,,,,,,,0.0
Client 4,3,1.82,0.14,0.0,51.04,,3,8,32,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 5,3,3.72,0.19,0.0,0.59,54.44,3,164,32,MLP,IID,AG_NEWS,0.15,0.9512,0.9173,0.0696,0.98,0.7374,0.6918,0.5124,,"{OFF,OFF,OFF,OFF,OFF,OFF}",0.0
Client 1,4,3.72,0.17,0.0,0.56,,5,223,34,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 2,4,2.69,0.16,0.0,0.96,,5,156,35,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 3,4,2.04,0.18,0.0,50.95,,5,13,34,MLP,IID,AG_NEWS,,,,,,,,,,,0.0
Client 4,4,1.86,0.12,0.0,50.76,,3,8,34,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 5,4,3.19,0.19,0.0,0.68,54.26,3,169,34,MLP,IID,AG_NEWS,0.13,0.9589,0.9286,0.0598,0.9,0.7601,0.7155,0.4511,,"{OFF,OFF,OFF,OFF,OFF,OFF}",0.0
Client 1,5,4.08,0.17,0.0,0.49,,5,200,35,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 2,5,3.01,0.16,0.0,0.96,,5,169,37,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 3,5,2.65,0.22,0.0,50.98,,5,14,35,MLP,IID,AG_NEWS,,,,,,,,,,,0.0
Client 4,5,1.87,0.11,0.0,50.78,,3,9,36,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 5,5,3.47,0.19,0.0,0.79,54.87,3,158,36,MLP,IID,AG_NEWS,0.12,0.9632,0.8969,0.0531,0.87,0.7649,0.7239,0.4603,,"{OFF,OFF,OFF,OFF,OFF,OFF}",
