Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE,"AP List (client_selector,client_cluster,message_compressor,model_co-versioning_registry,multi-task_model_trainer,heterogeneous_data_handler)",Agent Time (s)
Client 1,1,51.26,0.0,0.0,16.0,,5,332,17,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 2,1,18.44,0.0,0.0,13.97,,5,198,16,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 3,1,18.18,0.0,0.0,25.28,,5,159,16,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 4,1,20.17,0.0,0.0,45.26,,3,113,16,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 5,1,77.81,0.0,0.0,48.82,135.23,3,269,17,CNN 16k,non-IID,FashionMNIST,0.41,0.8657,0.7718,0.4434,1.73,0.6715,0.6244,0.9634,"{OFF,OFF,OFF,OFF,OFF,OFF}",0.0
Client 1,2,68.6,0.0,0.0,13.11,,5,285,16,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 2,2,40.55,0.0,0.0,16.4,,5,205,16,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 3,2,39.12,0.0,0.0,56.45,,5,126,16,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 4,2,41.9,0.0,0.0,44.17,,3,143,17,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 5,2,77.09,0.0,0.0,30.7,116.44,3,247,17,CNN 16k,non-IID,FashionMNIST,0.25,0.9078,0.8435,0.3115,1.32,0.7281,0.7036,0.9474,"{ON,OFF,OFF,OFF,OFF,OFF}",0.0
Client 1,3,35.85,0.05,231.2,12.53,,5,246,38,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 2,3,68.12,0.05,58.21,22.95,,5,212,31,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 3,3,19.13,0.05,200.63,51.04,,5,222,31,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 4,3,32.02,0.05,236.79,29.99,,3,233,29,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 5,3,47.82,0.05,452.94,19.3,526.82,3,265,47,CNN 16k,non-IID,FashionMNIST,0.75,0.6673,0.6636,0.9423,1.13,0.7418,0.7074,0.8116,"{OFF,OFF,ON,OFF,OFF,ON}",0.0
Client 1,4,111.21,0.0,0.0,13.48,,5,261,39,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 2,4,80.26,0.0,0.0,23.83,,5,217,29,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 3,4,68.85,0.0,0.0,29.52,,5,203,30,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 4,4,74.84,0.0,0.0,61.57,,3,162,31,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 5,4,118.07,0.0,0.0,31.09,158.28,3,239,46,CNN 16k,non-IID,FashionMNIST,0.14,0.9517,0.8617,0.1423,0.93,0.7483,0.7103,0.7421,"{ON,OFF,ON,OFF,OFF,OFF}",0.0
Client 1,5,136.04,0.0,0.0,12.72,,5,252,37,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 2,5,95.38,0.0,0.0,34.09,,5,217,30,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 3,5,95.04,0.0,0.0,51.22,,5,184,30,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 4,5,90.84,0.0,0.0,65.71,,3,169,32,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
