Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE,"AP List (client_selector,client_cluster,message_compressor,model_co-versioning_registry,multi-task_model_trainer,heterogeneous_data_handler)",Agent Time (s)
Client 1,1,52.51,0.0,0.0,16.64,,5,332,17,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 2,1,27.23,0.0,0.0,7.38,,5,211,16,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 3,1,13.04,0.0,0.0,42.35,,5,178,17,CNN 16k,IID,FashionMNIST,,,,,,,,,,0.0
Client 4,1,18.41,0.0,0.0,56.47,,3,98,16,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 5,1,91.08,0.0,0.0,30.49,124.32,3,280,16,CNN 16k,IID,FashionMNIST,0.37,0.8904,0.823,0.3583,1.28,0.7598,0.7303,0.7096,"{OFF,OFF,OFF,OFF,OFF,OFF}",42.28
Client 1,2,10.44,0.05,366.83,6.49,,5,341,55,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 2,2,53.98,0.05,131.46,17.33,,5,217,27,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 3,2,37.31,0.0,182.32,17.18,,5,237,28,CNN 16k,IID,FashionMNIST,,,,,,,,,,0.0
Client 4,2,63.33,0.05,80.48,74.18,,3,171,27,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 5,2,245.75,0.0,0.0,24.07,393.65,3,245,27,CNN 16k,IID,FashionMNIST,0.52,0.7924,0.7927,0.7549,0.8,0.7936,0.7703,0.6177,"{OFF,OFF,ON,OFF,OFF,ON}",41.87
Client 1,3,14.61,0.05,475.71,6.78,,5,336,42,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 2,3,71.22,0.05,168.65,21.96,,5,217,31,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 3,3,92.03,0.0,144.13,59.99,,5,200,31,CNN 16k,IID,FashionMNIST,,,,,,,,,,0.0
Client 4,3,9.93,0.05,324.7,43.51,,3,215,27,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 5,3,271.36,0.0,0.0,32.9,506.78,3,234,27,CNN 16k,IID,FashionMNIST,0.42,0.8368,0.8343,0.5442,0.72,0.8255,0.811,0.5256,"{OFF,OFF,ON,OFF,OFF,ON}",44.57
Client 1,4,132.42,0.05,252.41,6.7,,5,189,47,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
