Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE,"AP List (client_selector,client_cluster,message_compressor,model_co-versioning_registry,multi-task_model_trainer,heterogeneous_data_handler)",Agent Time (s)
Client 1,1,44.13,0.17,0.0,17.07,,5,365,16,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 2,1,11.94,0.28,0.0,10.1,,5,190,17,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 3,1,13.34,0.55,0.0,14.64,,5,157,16,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 4,1,13.1,0.42,0.0,28.24,,3,118,17,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 5,1,72.67,0.13,0.0,29.91,112.54,3,270,17,CNN 16k,non-IID,FashionMNIST,0.28,0.9255,0.8331,0.1929,1.67,0.728,0.6887,0.7906,"{OFF,OFF,OFF,OFF,OFF,OFF}",0.0
Client 1,2,66.99,0.16,0.0,16.45,,5,298,18,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 2,2,36.36,0.34,0.0,18.96,,5,210,16,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 3,2,28.0,0.3,0.0,34.72,,5,170,17,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 4,2,30.3,0.34,0.0,62.97,,3,128,16,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 5,2,86.73,0.14,0.0,32.09,129.0,3,255,16,CNN 16k,non-IID,FashionMNIST,0.25,0.9092,0.8553,0.2732,1.46,0.738,0.6973,0.8034,"{OFF,OFF,OFF,OFF,OFF,OFF}",0.0
Client 1,3,75.82,0.17,0.0,20.74,,5,312,17,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 2,3,45.85,0.24,0.0,6.87,,5,203,17,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 3,3,48.81,0.18,0.0,39.66,,5,151,17,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 4,3,43.66,0.15,0.0,17.26,,3,208,17,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 5,3,92.27,0.12,0.0,28.69,130.92,3,253,17,CNN 16k,non-IID,FashionMNIST,0.23,0.9157,0.8591,0.2848,0.86,0.7537,0.727,0.7475,"{OFF,OFF,ON,OFF,OFF,OFF}",0.01
Client 1,4,44.24,0.07,0.0,14.79,,5,386,17,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 2,4,25.98,0.18,0.0,8.53,,5,310,17,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 3,4,29.7,0.15,0.0,15.24,68.99,5,294,17,CNN 16k,non-IID,FashionMNIST,0.24,0.9094,0.8862,0.3127,0.86,0.78,0.7446,0.6286,"{ON,OFF,ON,OFF,OFF,OFF}",0.0
Client 1,5,101.79,0.07,0.0,22.69,,5,283,17,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 2,5,62.9,0.32,0.0,24.61,,5,209,18,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 3,5,72.87,0.12,0.0,30.65,,5,197,18,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 4,5,68.99,0.19,0.0,46.45,,3,167,17,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 5,5,113.34,0.15,0.0,21.81,145.01,3,240,17,CNN 16k,non-IID,FashionMNIST,0.17,0.9368,0.9157,0.1625,0.86,0.8084,0.7747,0.5775,"{OFF,OFF,OFF,OFF,OFF,OFF}",0.0
Client 1,6,117.51,0.15,0.0,18.81,,5,266,18,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 2,6,92.19,0.11,0.0,20.42,,5,219,17,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 3,6,86.15,0.17,0.0,70.33,,5,150,17,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 4,6,75.05,0.11,0.0,69.57,,3,156,18,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 5,6,132.06,0.14,0.0,25.98,167.91,3,240,17,CNN 16k,non-IID,FashionMNIST,0.17,0.9379,0.8671,0.1672,0.79,0.8086,0.7837,0.632,"{OFF,OFF,OFF,OFF,OFF,OFF}",0.0
Client 1,7,62.64,0.14,0.0,14.83,,5,360,18,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 2,7,47.69,0.13,0.0,17.89,,5,331,18,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 3,7,53.34,0.17,0.0,14.3,87.56,5,327,18,CNN 16k,non-IID,FashionMNIST,0.25,0.906,0.8893,0.3215,0.73,0.7902,0.767,0.5938,"{ON,OFF,ON,OFF,OFF,OFF}",0.0
Client 1,8,68.57,0.24,0.0,18.04,,5,361,18,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 2,8,59.65,0.2,0.0,19.25,,5,341,18,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 3,8,61.89,0.09,0.0,59.88,133.02,5,220,17,CNN 16k,non-IID,FashionMNIST,0.16,0.9443,0.8898,0.1632,0.84,0.77,0.7465,0.6548,"{ON,OFF,ON,OFF,OFF,OFF}",0.01
Client 1,9,126.8,0.1,0.0,20.62,,5,219,18,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 2,9,138.07,0.23,0.0,17.26,,5,227,18,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 3,9,130.53,0.19,0.0,29.64,,5,206,17,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 4,9,91.47,0.18,0.0,87.0,,3,170,17,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 5,9,132.49,0.12,0.0,23.64,189.66,3,222,17,CNN 16k,non-IID,FashionMNIST,0.17,0.938,0.8952,0.186,0.71,0.7967,0.7747,0.6617,"{OFF,OFF,OFF,OFF,OFF,OFF}",0.01
Client 1,10,176.44,0.05,106.54,16.48,,5,351,45,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 2,10,269.57,0.05,413.08,15.62,,5,411,52,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 3,10,15.34,0.05,719.35,29.53,772.6,5,422,47,CNN 16k,non-IID,FashionMNIST,0.68,0.6977,0.7064,1.1472,0.84,0.8025,0.7768,0.601,"{ON,OFF,ON,OFF,OFF,ON}",0.01
