Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE,"AP List (client_selector,client_cluster,message_compressor,model_co-versioning_registry,multi-task_model_trainer,heterogeneous_data_handler)",Agent Time (s)
Client 1,1,34.05,0.0,0.0,14.98,,5,324,31,CNN 16k,non-IID,CIFAR-10,,,,,,,,,,
Client 2,1,8.5,0.0,0.0,9.39,,5,176,31,CNN 16k,non-IID,CIFAR-10,,,,,,,,,,
Client 3,1,8.96,0.0,0.0,16.48,,5,221,30,CNN 16k,IID,CIFAR-10,,,,,,,,,,
Client 4,1,7.57,0.0,0.0,44.78,,5,92,30,CNN 16k,non-IID,CIFAR-10,,,,,,,,,,
Client 5,1,45.64,0.0,0.0,15.9,70.15,5,385,30,CNN 16k,IID,CIFAR-10,1.2,0.5754,0.4405,1.5586,2.03,0.419,0.3659,2.1148,"{OFF,OFF,OFF,OFF,OFF,OFF}",77.49
Client 1,2,44.82,0.0,0.0,15.1,,5,303,29,CNN 16k,non-IID,CIFAR-10,,,,,,,,,,
Client 2,2,17.76,0.0,0.0,13.06,,5,184,29,CNN 16k,non-IID,CIFAR-10,,,,,,,,,,
Client 3,2,19.32,0.0,0.0,59.09,,5,133,29,CNN 16k,IID,CIFAR-10,,,,,,,,,,
Client 4,2,16.14,0.0,0.0,63.42,,5,91,29,CNN 16k,non-IID,CIFAR-10,,,,,,,,,,
Client 5,2,56.09,0.0,0.0,15.38,96.9,5,350,29,CNN 16k,IID,CIFAR-10,1.15,0.5888,0.5058,1.4655,1.87,0.4639,0.4356,1.8823,"{OFF,OFF,OFF,OFF,OFF,OFF}",48.84
Client 1,3,54.42,0.0,0.0,14.73,,5,296,28,CNN 16k,non-IID,CIFAR-10,,,,,,,,,,
Client 2,3,24.65,0.0,0.0,13.91,,5,194,24,CNN 16k,non-IID,CIFAR-10,,,,,,,,,,
Client 3,3,25.91,0.0,0.0,30.54,,5,191,28,CNN 16k,IID,CIFAR-10,,,,,,,,,,
Client 4,3,26.18,0.0,0.0,36.23,,5,149,24,CNN 16k,non-IID,CIFAR-10,,,,,,,,,,
Client 5,3,66.2,0.0,0.0,16.0,86.3,5,342,27,CNN 16k,IID,CIFAR-10,1.09,0.612,0.5453,1.2212,1.74,0.4862,0.4555,1.8134,"{OFF,OFF,OFF,OFF,OFF,OFF}",69.79
Client 1,4,61.44,0.0,0.0,14.97,,5,278,26,CNN 16k,non-IID,CIFAR-10,,,,,,,,,,
Client 2,4,31.74,0.0,0.0,18.41,,5,191,26,CNN 16k,non-IID,CIFAR-10,,,,,,,,,,
Client 3,4,38.42,0.0,0.0,39.08,,5,191,27,CNN 16k,IID,CIFAR-10,,,,,,,,,,
Client 4,4,31.33,0.0,0.0,60.3,,5,118,27,CNN 16k,non-IID,CIFAR-10,,,,,,,,,,
Client 5,4,75.2,0.0,0.0,15.63,109.05,5,323,26,CNN 16k,IID,CIFAR-10,1.07,0.6221,0.5515,1.2798,1.78,0.4844,0.4564,1.8187,"{OFF,OFF,OFF,OFF,OFF,OFF}",60.97
Client 1,5,72.22,0.0,0.0,15.17,,5,277,25,CNN 16k,non-IID,CIFAR-10,,,,,,,,,,
Client 2,5,38.08,0.0,0.0,21.86,,5,198,25,CNN 16k,non-IID,CIFAR-10,,,,,,,,,,
Client 3,5,42.34,0.0,0.0,46.24,,5,177,25,CNN 16k,IID,CIFAR-10,,,,,,,,,,
Client 4,5,40.96,0.0,0.0,62.07,,5,129,25,CNN 16k,non-IID,CIFAR-10,,,,,,,,,,
Client 5,5,82.6,0.0,0.0,15.5,120.62,5,311,25,CNN 16k,IID,CIFAR-10,0.93,0.6752,0.6059,1.0937,1.56,0.5245,0.494,1.7845,"{OFF,OFF,OFF,OFF,OFF,OFF}",72.05
Client 1,6,83.58,0.0,0.0,15.01,,5,270,27,CNN 16k,non-IID,CIFAR-10,,,,,,,,,,
Client 2,6,47.6,0.0,0.0,23.34,,5,202,27,CNN 16k,non-IID,CIFAR-10,,,,,,,,,,
Client 3,6,49.02,0.0,0.0,44.73,,5,192,26,CNN 16k,IID,CIFAR-10,,,,,,,,,,
Client 4,6,49.33,0.0,0.0,66.15,,5,139,26,CNN 16k,non-IID,CIFAR-10,,,,,,,,,,
Client 5,6,93.89,0.0,0.0,15.42,133.54,5,300,27,CNN 16k,IID,CIFAR-10,0.91,0.6755,0.6257,1.1693,1.51,0.5441,0.5286,1.5867,"{OFF,OFF,OFF,OFF,OFF,ON}",73.18
Client 1,7,96.05,0.0,0.0,15.44,,5,259,26,CNN 16k,non-IID,CIFAR-10,,,,,,,,,,
Client 2,7,59.09,0.0,0.0,26.07,,5,200,25,CNN 16k,non-IID,CIFAR-10,,,,,,,,,,
Client 3,7,59.59,0.0,0.0,48.33,,5,208,26,CNN 16k,IID,CIFAR-10,,,,,,,,,,
Client 4,7,58.68,0.0,0.0,66.58,,5,147,25,CNN 16k,non-IID,CIFAR-10,,,,,,,,,,
Client 5,7,108.69,0.0,0.0,15.49,142.68,5,290,25,CNN 16k,IID,CIFAR-10,0.88,0.6855,0.6317,1.0305,1.56,0.5319,0.5168,1.6186,"{OFF,OFF,OFF,OFF,OFF,OFF}",71.16
Client 1,8,107.02,0.0,0.0,14.98,,5,263,26,CNN 16k,non-IID,CIFAR-10,,,,,,,,,,
Client 2,8,67.3,0.0,0.0,30.73,,5,215,27,CNN 16k,non-IID,CIFAR-10,,,,,,,,,,
Client 3,8,66.58,0.0,0.0,54.47,,5,184,26,CNN 16k,IID,CIFAR-10,,,,,,,,,,
Client 4,8,65.82,0.0,0.0,27.1,,5,196,27,CNN 16k,non-IID,CIFAR-10,,,,,,,,,,
Client 5,8,117.66,0.0,0.0,15.32,139.06,5,288,28,CNN 16k,IID,CIFAR-10,0.84,0.7054,0.6437,0.943,1.59,0.5393,0.5216,1.7139,"{OFF,OFF,OFF,OFF,OFF,ON}",71.44
Client 1,9,109.71,0.0,0.0,15.08,,5,253,25,CNN 16k,non-IID,CIFAR-10,,,,,,,,,,
Client 2,9,68.44,0.0,0.0,30.16,,5,200,26,CNN 16k,non-IID,CIFAR-10,,,,,,,,,,
Client 3,9,75.78,0.0,0.0,61.63,,5,186,26,CNN 16k,IID,CIFAR-10,,,,,,,,,,
Client 4,9,71.78,0.0,0.0,44.36,,5,181,25,CNN 16k,non-IID,CIFAR-10,,,,,,,,,,
Client 5,9,119.52,0.0,0.0,13.72,143.23,5,275,25,CNN 16k,IID,CIFAR-10,0.79,0.7192,0.6174,0.9996,1.71,0.5159,0.4896,1.6931,"{OFF,OFF,OFF,OFF,OFF,OFF}",73.24
Client 1,10,119.8,0.0,0.0,14.91,,5,250,26,CNN 16k,non-IID,CIFAR-10,,,,,,,,,,
Client 2,10,84.81,0.0,0.0,29.02,,5,211,27,CNN 16k,non-IID,CIFAR-10,,,,,,,,,,
Client 3,10,84.21,0.0,0.0,78.24,,5,168,27,CNN 16k,IID,CIFAR-10,,,,,,,,,,
Client 4,10,72.23,0.0,0.0,43.57,,5,187,28,CNN 16k,non-IID,CIFAR-10,,,,,,,,,,
Client 5,10,132.47,0.0,0.0,15.7,168.52,5,280,27,CNN 16k,IID,CIFAR-10,0.8,0.7157,0.6387,1.0691,1.6,0.5424,0.5113,1.6829,"{OFF,OFF,OFF,OFF,OFF,ON}",73.03
Client 1,11,132.38,0.0,0.0,15.38,,5,253,25,CNN 16k,non-IID,CIFAR-10,,,,,,,,,,
Client 2,11,88.44,0.0,0.0,29.64,,5,203,25,CNN 16k,non-IID,CIFAR-10,,,,,,,,,,
Client 3,11,87.47,0.0,0.0,49.93,,5,206,25,CNN 16k,IID,CIFAR-10,,,,,,,,,,
Client 4,11,92.18,0.0,0.0,79.44,,5,159,29,CNN 16k,non-IID,CIFAR-10,,,,,,,,,,
Client 5,11,141.67,0.0,0.0,15.52,192.06,5,272,25,CNN 16k,IID,CIFAR-10,0.82,0.7086,0.6587,0.9824,1.55,0.5411,0.5209,1.6236,"{OFF,OFF,OFF,OFF,OFF,OFF}",85.8
Client 1,12,140.19,0.0,0.0,15.04,,5,248,27,CNN 16k,non-IID,CIFAR-10,,,,,,,,,,
Client 2,12,82.8,0.0,0.0,42.87,,5,207,28,CNN 16k,non-IID,CIFAR-10,,,,,,,,,,
Client 3,12,89.48,0.0,0.0,55.97,,5,205,27,CNN 16k,IID,CIFAR-10,,,,,,,,,,
Client 4,12,100.99,0.0,0.0,75.36,,5,173,26,CNN 16k,non-IID,CIFAR-10,,,,,,,,,,
Client 5,12,151.2,0.0,0.0,15.43,194.65,5,270,27,CNN 16k,IID,CIFAR-10,0.8,0.7198,0.6602,0.9032,1.6,0.5401,0.5184,1.6063,"{OFF,OFF,OFF,OFF,OFF,ON}",80.66
Client 1,13,146.18,0.0,0.0,18.45,,5,233,25,CNN 16k,non-IID,CIFAR-10,,,,,,,,,,
Client 2,13,112.6,0.0,0.0,38.14,,5,211,28,CNN 16k,non-IID,CIFAR-10,,,,,,,,,,
Client 3,13,104.18,0.0,0.0,51.59,,5,216,26,CNN 16k,IID,CIFAR-10,,,,,,,,,,
Client 4,13,102.91,0.0,0.0,51.7,,5,205,27,CNN 16k,non-IID,CIFAR-10,,,,,,,,,,
Client 5,13,159.92,0.0,0.0,17.69,182.2,5,256,26,CNN 16k,IID,CIFAR-10,0.82,0.7089,0.6653,0.9895,1.6,0.5513,0.5283,1.59,"{OFF,OFF,OFF,OFF,OFF,OFF}",80.69
Client 1,14,153.62,0.0,0.0,15.96,,5,237,26,CNN 16k,non-IID,CIFAR-10,,,,,,,,,,
Client 2,14,114.92,0.0,0.0,37.02,,5,212,26,CNN 16k,non-IID,CIFAR-10,,,,,,,,,,
Client 3,14,110.28,0.0,0.0,70.97,,5,196,27,CNN 16k,IID,CIFAR-10,,,,,,,,,,
Client 4,14,115.35,0.0,0.0,71.75,,5,169,27,CNN 16k,non-IID,CIFAR-10,,,,,,,,,,
Client 5,14,159.38,0.0,0.0,20.18,205.31,5,254,27,CNN 16k,IID,CIFAR-10,0.7,0.7532,0.6866,0.9024,1.56,0.5512,0.5282,1.6425,"{OFF,OFF,OFF,OFF,OFF,ON}",76.23
Client 1,15,169.64,0.0,0.0,17.37,,5,232,25,CNN 16k,non-IID,CIFAR-10,,,,,,,,,,
Client 2,15,131.87,0.0,0.0,39.84,,5,212,27,CNN 16k,non-IID,CIFAR-10,,,,,,,,,,
Client 3,15,128.43,0.0,0.0,77.57,,5,195,25,CNN 16k,IID,CIFAR-10,,,,,,,,,,
Client 4,15,124.0,0.0,0.0,53.72,,5,198,27,CNN 16k,non-IID,CIFAR-10,,,,,,,,,,
Client 5,15,162.61,0.0,0.0,30.81,212.96,5,243,25,CNN 16k,IID,CIFAR-10,0.73,0.7417,0.7119,0.9224,1.53,0.5741,0.5579,1.4858,"{OFF,OFF,ON,OFF,OFF,OFF}",76.72
Client 1,16,158.3,0.0,0.0,23.54,,5,226,26,CNN 16k,non-IID,CIFAR-10,,,,,,,,,,
