Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE,"AP List (client_selector,client_cluster,message_compressor,model_co-versioning_registry,multi-task_model_trainer,heterogeneous_data_handler)",Agent Time (s)
Client 1,1,45.13,0.0,0.0,14.43,,5,325,17,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 2,1,17.28,0.0,0.0,10.05,,5,186,17,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 3,1,21.77,0.0,0.0,31.0,,5,192,16,CNN 16k,IID,FashionMNIST,,,,,,,,,,0.0
Client 4,1,18.3,0.0,0.0,22.32,,3,147,16,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 5,1,67.85,0.0,0.0,35.37,105.62,3,276,16,CNN 16k,IID,FashionMNIST,0.35,0.8846,0.7685,0.3465,1.39,0.7094,0.658,0.946,"{OFF,OFF,OFF,OFF,OFF,OFF}",180.42
Client 1,2,75.62,0.0,0.0,14.45,,5,283,17,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 2,2,38.17,0.0,0.0,20.18,,5,193,17,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 3,2,42.45,0.0,0.0,55.75,,5,165,16,CNN 16k,IID,FashionMNIST,,,,,,,,,,0.0
Client 4,2,44.71,0.0,0.0,15.91,,3,199,17,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 5,2,96.44,0.0,0.0,30.17,139.84,3,255,16,CNN 16k,IID,FashionMNIST,0.33,0.8778,0.8688,0.3759,1.04,0.8018,0.7801,0.6179,"{OFF,OFF,OFF,OFF,OFF,OFF}",180.48
Client 1,3,87.47,0.0,0.0,13.72,,5,261,17,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 2,3,54.91,0.0,0.0,19.53,,5,198,17,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 3,3,54.92,0.0,0.0,46.29,,5,185,17,CNN 16k,IID,FashionMNIST,,,,,,,,,,0.0
Client 4,3,59.52,0.0,0.0,34.56,,3,176,17,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 5,3,104.59,0.0,0.0,30.0,145.07,3,247,17,CNN 16k,IID,FashionMNIST,0.22,0.9235,0.8811,0.2556,0.69,0.8092,0.7847,0.5594,"{OFF,OFF,OFF,OFF,OFF,OFF}",173.61
Client 1,4,66.83,0.05,269.26,8.1,,5,181,45,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 2,4,134.92,0.05,143.69,23.76,,5,227,34,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 3,4,115.7,0.0,200.85,38.16,,5,225,34,CNN 16k,IID,FashionMNIST,,,,,,,,,,0.0
Client 4,4,120.56,0.05,160.05,43.28,,3,214,36,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 5,4,306.35,0.0,0.0,20.47,363.99,3,236,27,CNN 16k,IID,FashionMNIST,0.47,0.781,0.7733,0.6798,0.77,0.8063,0.7879,0.6736,"{OFF,OFF,OFF,OFF,OFF,ON}",180.37
Client 1,5,142.42,0.11,0.0,16.8,,5,251,42,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 2,5,104.88,0.15,0.0,28.65,,5,209,34,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 3,5,97.84,0.03,0.0,64.84,,5,188,37,CNN 16k,IID,FashionMNIST,,,,,,,,,,0.0
Client 4,5,101.98,0.08,0.0,56.41,,3,176,34,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 5,5,150.67,0.0,0.0,31.01,192.07,3,239,29,CNN 16k,IID,FashionMNIST,0.22,0.9194,0.9007,0.26,0.63,0.8248,0.8012,0.5203,"{OFF,OFF,OFF,OFF,OFF,ON}",180.4
Client 1,6,167.91,0.15,0.0,17.96,,5,248,42,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 2,6,114.2,0.13,0.0,41.69,,5,207,33,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 3,6,122.02,0.02,0.0,47.95,,5,217,36,CNN 16k,IID,FashionMNIST,,,,,,,,,,0.0
Client 4,6,116.42,0.11,0.0,80.84,,3,173,35,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 5,6,175.86,0.0,0.0,35.6,221.59,3,237,26,CNN 16k,IID,FashionMNIST,0.23,0.9136,0.8986,0.2871,0.57,0.8398,0.8332,0.5572,"{OFF,OFF,OFF,OFF,OFF,ON}",180.59
Client 1,7,176.13,0.08,0.0,15.0,,5,236,42,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 2,7,129.77,0.18,0.0,41.0,,5,208,34,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 3,7,135.75,0.02,0.0,84.41,,5,181,36,CNN 16k,IID,FashionMNIST,,,,,,,,,,0.0
Client 4,7,131.72,0.35,0.0,67.19,,3,181,34,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 5,7,176.17,0.0,0.0,28.92,232.42,3,229,27,CNN 16k,IID,FashionMNIST,0.18,0.935,0.9018,0.2203,0.46,0.8451,0.8421,0.5401,"{OFF,OFF,OFF,OFF,OFF,ON}",180.39
Client 1,8,182.39,0.09,0.0,25.99,,5,229,42,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 2,8,148.78,0.09,0.0,44.19,,5,209,34,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 3,8,153.5,0.0,0.0,59.35,,5,211,36,CNN 16k,IID,FashionMNIST,,,,,,,,,,0.0
Client 4,8,152.92,0.08,0.0,69.92,,3,184,34,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 5,8,182.18,0.0,0.0,32.78,244.82,3,226,26,CNN 16k,IID,FashionMNIST,0.19,0.9318,0.9197,0.2189,0.57,0.8451,0.8269,0.4895,"{OFF,OFF,OFF,OFF,OFF,ON}",180.51
Client 1,9,193.44,0.13,0.0,21.88,,5,225,42,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 2,9,165.49,0.28,0.0,36.21,,5,210,33,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 3,9,158.78,0.0,0.0,51.8,,5,215,36,CNN 16k,IID,FashionMNIST,,,,,,,,,,0.0
Client 4,9,165.93,0.13,0.0,74.61,,3,183,34,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 5,9,179.96,0.0,0.0,36.07,264.77,3,221,27,CNN 16k,IID,FashionMNIST,0.19,0.9291,0.9137,0.2348,0.52,0.8448,0.8342,0.4613,"{OFF,OFF,OFF,OFF,OFF,ON}",180.36
Client 1,10,184.81,0.38,0.0,35.91,,5,219,42,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 2,10,174.87,0.18,0.0,38.55,,5,211,34,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 3,10,186.83,0.0,0.0,78.03,,5,191,37,CNN 16k,IID,FashionMNIST,,,,,,,,,,0.0
Client 4,10,177.94,0.08,0.0,51.12,,3,197,34,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 5,10,164.65,0.0,0.0,52.79,277.85,3,220,26,CNN 16k,IID,FashionMNIST,0.16,0.9405,0.8947,0.1943,0.65,0.8167,0.8018,0.5709,"{OFF,OFF,OFF,OFF,OFF,ON}",180.36
