Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE,"AP List (client_selector,client_cluster,message_compressor,model_co-versioning_registry,multi-task_model_trainer,heterogeneous_data_handler)",Agent Time (s)
Client 1,1,44.86,0.0,0.0,19.7,,5,347,16,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 2,1,16.15,0.0,0.0,9.32,,5,190,16,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 3,1,19.67,0.0,0.0,54.68,,5,89,16,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 4,1,16.89,0.0,0.0,55.34,,3,90,17,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 5,1,61.41,0.0,0.0,44.02,113.62,3,268,17,CNN 16k,non-IID,FashionMNIST,0.33,0.8987,0.7992,0.3938,1.81,0.6959,0.6513,0.9006,"{OFF,OFF,OFF,OFF,OFF,OFF}",0.0
Client 1,2,60.98,0.0,0.0,13.98,,5,313,16,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 2,2,32.61,0.0,0.0,12.23,,5,211,16,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 3,2,26.7,0.0,0.0,34.83,,5,131,16,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 4,2,30.78,0.0,0.0,41.42,,3,136,16,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 5,2,72.62,0.0,0.0,39.09,120.37,3,260,18,CNN 16k,non-IID,FashionMNIST,0.18,0.9352,0.8488,0.2342,1.73,0.7238,0.6921,0.8632,"{OFF,OFF,OFF,OFF,OFF,OFF}",0.0
Client 1,3,69.56,0.0,0.0,15.61,,5,300,17,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 2,3,45.71,0.0,0.0,11.9,,5,216,17,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 3,3,36.22,0.0,0.0,20.3,,5,189,17,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 4,3,44.17,0.0,0.0,27.64,,3,150,16,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 5,3,76.45,0.0,0.0,36.4,127.27,3,245,19,CNN 16k,non-IID,FashionMNIST,0.21,0.9242,0.8807,0.261,1.38,0.7676,0.7373,0.7331,"{OFF,OFF,OFF,OFF,OFF,OFF}",0.0
Client 1,4,105.99,0.0,0.0,21.1,,5,279,17,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 2,4,72.9,0.0,0.0,21.97,,5,211,17,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 3,4,68.21,0.0,0.0,43.92,,5,175,17,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 4,4,57.13,0.0,0.0,73.67,,3,160,17,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 5,4,113.68,0.0,0.0,46.83,168.95,3,247,19,CNN 16k,non-IID,FashionMNIST,0.18,0.9328,0.8805,0.2029,1.05,0.771,0.7333,0.6968,"{OFF,OFF,OFF,OFF,OFF,OFF}",0.0
Client 1,5,119.36,0.0,0.0,15.72,,5,263,17,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 2,5,86.4,0.0,0.0,28.4,,5,222,17,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 3,5,73.84,0.0,0.0,35.58,,5,180,17,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 4,5,89.61,0.0,0.0,41.48,,3,188,17,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
