Client ID,FL Round,Training Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 6,1,9.7,1.58,,,196,4,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 7,1,10.2,0.25,,,195,4,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 8,1,10.25,0.08,,,195,4,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 16,1,10.19,0.19,10.37,,195,4,CNN 16k,IID,CIFAR-10,3467.81,0.1707,0.1067,3.4005,694.91,0.17,0.1063,3.4107
Client 12,2,10.09,0.15,,,195,4,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 13,2,10.13,0.02,,,195,4,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 14,2,10.08,0.17,,,195,4,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 15,2,10.08,0.13,10.25,,195,4,CNN 16k,IID,CIFAR-10,2879.12,0.3231,0.302,2.5343,577.27,0.3223,0.3011,2.5162
Client 5,3,10.06,0.22,,,195,4,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 9,3,10.1,0.07,,,196,4,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 10,3,10.07,0.15,,,195,4,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 11,3,10.09,0.12,10.21,,195,4,CNN 16k,IID,CIFAR-10,2643.47,0.3798,0.3694,2.2743,530.11,0.3786,0.3684,2.2752
Client 1,4,10.03,0.19,,,196,4,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,4,10.03,0.11,,,196,4,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,4,9.99,0.24,,,196,4,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 4,4,10.01,0.17,10.22,,196,4,CNN 16k,IID,CIFAR-10,2471.89,0.4252,0.4161,2.1083,497.92,0.4189,0.4098,2.1463
