Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE,SSIM Overhead (indice),"AP List (client_selector,client_cluster,message_compressor,model_co-versioning_registry,multi-task_model_trainer,heterogeneous_data_handler)",Agent Time (s)
Client 1,1,19.55,0.39,0.0,5.55,,5,387,24,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 2,1,1.21,0.34,0.0,3.32,,5,126,24,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 3,1,2.03,0.26,0.0,35.46,,5,28,23,MLP,IID,AG_NEWS,,,,,,,,,,,0.0
Client 4,1,1.84,0.03,0.0,24.34,,3,55,24,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 5,1,18.7,0.25,0.0,10.8,43.4,3,244,25,MLP,IID,AG_NEWS,0.23,0.9239,0.6151,0.1182,2.58,0.4442,0.3173,1.0051,,"{OFF,OFF,OFF,OFF,OFF,OFF}",0.0
Client 1,2,18.14,0.39,0.0,5.09,,5,376,28,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 2,2,4.48,0.3,0.0,5.18,,5,213,28,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 3,2,5.41,0.26,0.0,26.63,,5,72,27,MLP,IID,AG_NEWS,,,,,,,,,,,0.0
Client 4,2,6.48,0.23,0.0,48.62,,3,42,28,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 5,2,16.8,0.25,0.0,7.08,56.49,3,266,28,MLP,IID,AG_NEWS,0.12,0.9673,0.7351,0.0507,2.42,0.5381,0.4355,0.8437,,"{OFF,OFF,OFF,OFF,OFF,OFF}",0.0
Client 1,3,10.7,0.39,0.0,3.51,,5,315,32,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 2,3,6.97,0.21,0.0,1.65,,5,222,30,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 3,3,6.69,0.23,0.0,42.0,,5,51,30,MLP,IID,AG_NEWS,,,,,,,,,,,0.0
Client 4,3,5.31,0.14,0.0,28.92,,3,50,32,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 5,3,13.98,0.25,0.0,4.9,50.05,3,262,32,MLP,IID,AG_NEWS,0.13,0.9554,0.7485,0.0634,2.47,0.5507,0.4508,0.822,,"{OFF,OFF,OFF,OFF,OFF,OFF}",0.0
Client 1,4,7.96,0.39,0.0,2.21,,5,286,33,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 2,4,2.83,0.25,0.0,1.73,,5,204,32,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 3,4,5.28,0.23,0.0,42.2,,5,46,32,MLP,IID,AG_NEWS,,,,,,,,,,,0.0
Client 4,4,5.1,0.11,0.0,32.14,,3,56,33,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 5,4,10.23,0.25,0.0,4.8,49.1,3,268,33,MLP,IID,AG_NEWS,0.12,0.9604,0.7998,0.0565,2.38,0.58,0.4883,0.7489,,"{OFF,OFF,OFF,OFF,OFF,OFF}",0.0
Client 1,5,12.83,0.39,0.0,3.77,,5,287,34,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 2,5,6.83,0.25,0.0,4.84,,5,218,33,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 3,5,7.79,0.27,0.0,30.69,,5,67,33,MLP,IID,AG_NEWS,,,,,,,,,,,0.0
Client 4,5,10.34,0.11,0.0,43.42,,3,61,33,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 5,5,15.04,0.25,0.0,4.56,55.38,3,252,35,MLP,IID,AG_NEWS,0.11,0.9632,0.8539,0.0502,2.26,0.5914,0.512,0.7537,,"{OFF,OFF,OFF,OFF,OFF,OFF}",0.0
Client 1,6,13.38,0.39,0.0,2.41,,5,275,31,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 2,6,7.73,0.24,0.0,4.94,,5,212,32,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 3,6,7.6,0.27,0.0,47.53,,5,51,31,MLP,IID,AG_NEWS,,,,,,,,,,,0.0
Client 4,6,8.38,0.09,0.0,45.22,,3,54,32,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 5,6,12.5,0.25,0.0,3.72,56.63,3,235,34,MLP,IID,AG_NEWS,0.11,0.9652,0.8806,0.0467,2.12,0.6209,0.5478,0.7014,,"{OFF,OFF,OFF,OFF,OFF,OFF}",
