Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE,SSIM Overhead (indice),"AP List (client_selector,client_cluster,message_compressor,model_co-versioning_registry,multi-task_model_trainer,heterogeneous_data_handler)",Agent Time (s)
Client 1,1,2.4,0.13,0.0,0.56,,5,267,23,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 2,1,0.62,0.18,0.0,0.57,,5,164,24,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 3,1,0.51,0.24,0.0,37.53,,5,7,22,MLP,IID,AG_NEWS,,,,,,,,,,,0.0
Client 4,1,0.43,0.01,0.0,35.44,,3,5,22,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 5,1,2.32,0.19,0.0,0.54,40.0,3,182,22,MLP,IID,AG_NEWS,0.37,0.8742,0.7209,0.1975,1.36,0.5961,0.5005,0.6943,,"{OFF,OFF,OFF,OFF,OFF,OFF}",51.62
Client 1,2,2.08,0.13,0.0,0.49,,5,247,27,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 2,2,0.49,0.06,0.0,0.25,,5,239,27,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 3,2,0.78,0.24,0.0,43.49,45.74,5,8,26,MLP,IID,AG_NEWS,0.28,0.9146,0.8766,0.131,0.67,0.7646,0.7518,0.4042,,"{ON,OFF,OFF,OFF,OFF,ON}",53.91
Client 1,3,2.37,0.13,0.0,0.47,,5,242,30,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 2,3,0.76,0.07,0.0,0.3,,5,254,31,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 3,3,1.21,0.18,0.0,50.59,53.55,5,9,30,MLP,IID,AG_NEWS,0.2,0.937,0.8804,0.0925,0.56,0.8105,0.7996,0.3076,,"{ON,OFF,OFF,OFF,OFF,OFF}",50.04
Client 1,4,2.15,0.13,0.0,0.48,,5,247,31,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 2,4,0.88,0.08,0.0,0.33,,5,267,32,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 3,4,1.34,0.18,0.0,50.79,53.46,5,11,32,MLP,IID,AG_NEWS,0.17,0.9496,0.889,0.0732,0.56,0.8216,0.8104,0.2818,,"{ON,OFF,OFF,OFF,OFF,ON}",52.25
Client 1,5,2.84,0.13,0.0,0.5,,5,228,33,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 2,5,1.19,0.11,0.0,0.42,,5,276,34,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 3,5,1.92,0.22,0.0,24.78,28.04,5,24,33,MLP,IID,AG_NEWS,0.14,0.9563,0.8872,0.0624,0.56,0.8208,0.8108,0.3048,,"{ON,OFF,OFF,OFF,OFF,ON}",51.8
Client 1,6,3.3,0.13,0.0,0.5,,5,201,34,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 2,6,1.4,0.12,0.0,0.47,,5,278,34,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 3,6,2.24,0.24,0.0,47.76,51.45,5,13,33,MLP,IID,AG_NEWS,0.12,0.9617,0.8862,0.0539,0.59,0.8173,0.8049,0.3079,,"{ON,OFF,OFF,OFF,OFF,ON}",51.11
Client 1,7,3.23,0.13,0.0,0.57,,5,225,35,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 2,7,1.6,0.11,0.0,0.5,,5,291,35,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 3,7,2.65,0.23,0.0,49.96,53.85,5,17,36,MLP,IID,AG_NEWS,0.12,0.9651,0.887,0.0488,0.58,0.8243,0.8106,0.3063,,"{ON,OFF,OFF,OFF,OFF,ON}",46.18
Client 1,8,3.58,0.13,0.0,0.65,,5,191,37,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 2,8,1.68,0.11,0.0,0.54,,5,292,37,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 3,8,2.95,0.19,0.0,35.93,40.63,5,21,37,MLP,IID,AG_NEWS,0.11,0.9655,0.8864,0.0491,0.6,0.8238,0.8061,0.2837,,"{ON,OFF,OFF,OFF,OFF,ON}",47.23
Client 1,9,3.51,0.13,0.0,0.96,,5,220,39,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 2,9,2.07,0.1,0.0,0.64,,5,297,36,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 3,9,3.35,0.19,0.0,34.04,39.11,5,28,38,MLP,IID,AG_NEWS,0.11,0.9662,0.8843,0.0492,0.63,0.8193,0.7977,0.3028,,"{ON,OFF,OFF,OFF,OFF,ON}",47.4
