Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE,"AP List (client_selector,client_cluster,message_compressor,model_co-versioning_registry,multi-task_model_trainer,heterogeneous_data_handler)",Agent Time (s)
Client 1,1,44.72,0.0,0.0,13.17,,5,312,16,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 2,1,20.06,0.0,0.0,11.39,,5,203,17,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 3,1,15.52,0.0,0.0,61.93,,5,131,16,CNN 16k,IID,FashionMNIST,,,,,,,,,,0.0
Client 4,1,18.22,0.0,0.0,55.67,,3,93,16,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 5,1,60.47,0.0,0.0,26.38,89.32,3,272,16,CNN 16k,IID,FashionMNIST,0.38,0.8813,0.7895,0.3936,1.41,0.7219,0.6903,0.8819,"{OFF,OFF,OFF,OFF,OFF,OFF}",180.35
Client 1,2,68.19,0.0,0.0,15.81,,5,287,17,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 2,2,39.04,0.0,0.0,15.17,,5,195,17,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 3,2,32.34,0.0,0.0,61.97,,5,157,16,CNN 16k,IID,FashionMNIST,,,,,,,,,,0.0
Client 4,2,36.06,0.0,0.0,68.11,,3,115,17,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 5,2,89.5,0.0,0.0,36.49,134.01,3,262,16,CNN 16k,IID,FashionMNIST,0.27,0.9069,0.852,0.2925,1.16,0.7836,0.7567,0.6647,"{OFF,OFF,OFF,OFF,OFF,OFF}",180.29
Client 1,3,91.98,0.0,0.0,13.99,,5,263,17,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 2,3,59.07,0.0,0.0,22.77,,5,207,17,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 3,3,54.21,0.0,0.0,49.16,,5,187,17,CNN 16k,IID,FashionMNIST,,,,,,,,,,0.0
Client 4,3,57.24,0.0,0.0,58.6,,3,148,18,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 5,3,106.45,0.0,0.0,25.38,138.91,3,248,17,CNN 16k,IID,FashionMNIST,0.29,0.8952,0.8784,0.3426,0.55,0.8138,0.7978,0.5413,"{OFF,OFF,OFF,OFF,OFF,OFF}",180.47
Client 1,4,105.72,0.0,0.0,13.12,,5,250,17,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 2,4,72.48,0.0,0.0,25.37,,5,204,17,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 3,4,74.18,0.0,0.0,59.58,,5,183,17,CNN 16k,IID,FashionMNIST,,,,,,,,,,0.0
Client 4,4,69.93,0.0,0.0,51.4,,3,165,17,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 5,4,118.53,0.0,0.0,24.4,150.68,3,240,17,CNN 16k,IID,FashionMNIST,0.22,0.922,0.9032,0.2406,0.7,0.8348,0.8134,0.514,"{OFF,OFF,OFF,OFF,OFF,OFF}",180.39
Client 1,5,138.26,0.0,0.0,13.39,,5,245,17,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 2,5,98.94,0.0,0.0,33.22,,5,212,17,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 3,5,95.07,0.0,0.0,87.33,,5,174,17,CNN 16k,IID,FashionMNIST,,,,,,,,,,0.0
Client 4,5,98.49,0.0,0.0,60.33,,3,167,17,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
