Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE,"AP List (client_selector,client_cluster,message_compressor,model_co-versioning_registry,multi-task_model_trainer,heterogeneous_data_handler)",Agent Time (s)
Client 1,1,43.57,0.0,0.0,13.0,,5,313,17,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 2,1,18.16,0.0,0.0,9.98,,5,188,16,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 3,1,15.8,0.0,0.0,29.27,,5,211,16,CNN 16k,IID,FashionMNIST,,,,,,,,,,0.0
Client 4,1,20.05,0.0,0.0,60.19,,3,92,16,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 5,1,63.13,0.0,0.0,29.01,95.3,3,275,16,CNN 16k,IID,FashionMNIST,0.34,0.9017,0.823,0.3003,1.04,0.7625,0.728,0.7433,"{OFF,OFF,OFF,OFF,OFF,OFF}",24.68
Client 1,2,35.25,0.0,0.0,15.52,,5,383,16,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 2,2,15.73,0.0,0.0,8.03,,5,284,17,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 3,2,22.85,0.0,0.0,22.65,60.91,5,269,16,CNN 16k,IID,FashionMNIST,0.18,0.9397,0.8786,0.1793,1.11,0.7624,0.7302,0.7326,"{ON,OFF,OFF,OFF,OFF,OFF}",13.54
Client 1,3,82.56,0.0,0.0,13.81,,5,280,17,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 2,3,52.25,0.0,0.0,20.02,,5,219,17,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 3,3,54.71,0.0,0.0,22.16,,5,239,17,CNN 16k,IID,FashionMNIST,,,,,,,,,,0.0
Client 4,3,37.99,0.0,0.0,33.99,,3,181,17,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 5,3,99.26,0.0,0.0,28.8,130.66,3,258,17,CNN 16k,IID,FashionMNIST,0.28,0.8962,0.8787,0.3175,0.69,0.8267,0.8123,0.5436,"{OFF,OFF,OFF,OFF,OFF,OFF}",17.23
Client 1,4,53.48,0.0,0.0,13.5,,5,373,17,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 2,4,37.77,0.0,0.0,9.02,,5,318,17,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 3,4,40.31,0.0,0.0,24.4,76.75,5,307,17,CNN 16k,IID,FashionMNIST,0.2,0.925,0.8889,0.2519,0.88,0.7894,0.7629,0.6532,"{ON,OFF,OFF,OFF,OFF,OFF}",23.38
Client 1,5,111.4,0.0,0.0,13.12,,5,260,17,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 2,5,80.66,0.0,0.0,22.8,,5,219,17,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 3,5,85.67,0.0,0.0,33.55,,5,237,17,CNN 16k,IID,FashionMNIST,,,,,,,,,,0.0
Client 4,5,49.83,0.0,0.0,66.26,,3,142,17,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 5,5,121.69,0.0,0.0,23.42,147.72,3,251,18,CNN 16k,IID,FashionMNIST,0.23,0.9159,0.8756,0.2926,0.71,0.8068,0.7826,0.5654,"{OFF,OFF,OFF,OFF,OFF,OFF}",20.02
Client 1,6,78.13,0.0,0.0,12.23,,5,365,17,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 2,6,59.21,0.0,0.0,15.46,,5,331,17,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 3,6,65.06,0.0,0.0,48.95,117.75,5,266,17,CNN 16k,IID,FashionMNIST,0.23,0.914,0.8942,0.2753,0.61,0.8138,0.7963,0.6302,"{ON,OFF,OFF,OFF,OFF,OFF}",15.3
Client 1,7,17.25,0.05,325.16,7.89,,5,353,44,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 2,7,109.36,0.05,128.99,18.35,,5,287,37,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 3,7,31.67,0.0,246.85,24.15,357.3,5,305,40,CNN 16k,IID,FashionMNIST,0.49,0.7686,0.744,0.9495,0.79,0.8128,0.7928,0.601,"{ON,OFF,OFF,OFF,OFF,ON}",25.66
Client 1,8,116.25,0.0,0.0,19.3,,5,362,42,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 2,8,100.12,0.0,0.0,22.47,,5,342,39,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 3,8,105.39,0.0,0.0,28.32,145.8,5,354,38,CNN 16k,IID,FashionMNIST,0.21,0.9219,0.8909,0.227,0.53,0.8592,0.8442,0.4679,"{ON,OFF,OFF,OFF,OFF,OFF}",14.77
Client 1,9,88.36,0.19,0.0,30.42,,5,350,42,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 2,9,104.31,0.11,0.0,17.95,,5,348,37,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 3,9,98.85,0.0,0.0,55.88,160.96,5,295,40,CNN 16k,IID,FashionMNIST,0.16,0.9417,0.9161,0.19,0.71,0.8277,0.8076,0.6031,"{ON,OFF,OFF,OFF,OFF,ON}",18.1
Client 1,10,124.3,0.0,0.0,18.07,,5,362,42,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 2,10,105.83,0.0,0.0,21.82,,5,341,39,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 3,10,117.15,0.0,0.0,58.5,180.26,5,293,38,CNN 16k,IID,FashionMNIST,0.23,0.9137,0.91,0.293,0.34,0.8833,0.8839,0.3741,"{ON,OFF,OFF,OFF,OFF,OFF}",18.1
